"配偶者ビザ 必要書類チェックリスト（2026年8月版）","","","",""
"行政書士ナビ・ジャーナル（gyosei-navi.jp） — 2026-08-20版。一次情報: 出入国在留管理庁「在留資格『日本人の配偶者等』」必要書類ページ（配偶者の場合／実子・特別養子の場合）・「配偶者に関する届出」ページの原文","","","",""
"※本シートは一般的な情報提供であり、個別の法的助言ではありません。必要書類は個別事情で変わり得るため、申請前に必ず入管庁の最新の公式ページでご確認ください。","","","",""
"※日本で発行される証明書は全て発行日から3か月以内のものを提出してください。提出書類が外国語の場合は日本語訳を添付してください。","","","",""
"","","","",""
"区分","書類","対象","部数・取得先・注意点","チェック"
"申請書類","在留資格認定証明書交付申請書（または変更・更新許可申請書）","全員","1通。入管庁HPでPDF/Excel様式をDL","□"
"申請書類","写真","全員","1葉。指定の規格を満たすもの。申請書の写真欄に添付","□"
"身分関係","配偶者（日本人）の戸籍謄本（全部事項証明書）","配偶者","1通。本籍地の市区町村役場。婚姻事実の記載がない場合は婚姻届出受理証明書も追加","□"
"身分関係","申請人の国籍国の機関から発行された結婚証明書","配偶者","1通。申請人が韓国籍等で戸籍謄本が発行される場合は、婚姻が記載された外国機関発行の戸籍謄本でも可","□"
"身分関係","出生届受理証明書・認知届受理証明書／出生国の出生証明書","実子","国内出生：市区町村役場／海外出生：出生国の機関","□"
"身分関係","特別養子縁組届出受理証明書または家庭裁判所の審判書謄本・確定証明書","特別養子","市区町村役場／家庭裁判所","□"
"生活費関係","滞在費用を支弁する方の直近1年分の住民税の課税（又は非課税）証明書及び納税証明書","全員","各1通。1月1日現在の居住市区町村で発行。総所得と納税状況の両方が載っていればどちらか一方で可","□"
"生活費関係","（上記が取れない場合）預貯金通帳の写し／雇用予定証明書／採用内定通知書","全員","入国後間もない場合や転居等の場合。Web通帳の画面写しも可（加工不可の印刷に限る）","□"
"身元保証","配偶者（日本人）の身元保証書","配偶者","1通。入管庁HPで様式DL（英語版あり）。保証人は日本に居住する配偶者","□"
"身元保証","配偶者（日本人）の世帯全員の記載のある住民票の写し","配偶者","1通。マイナンバーは省略し、他の事項は省略しないこと","□"
"婚姻の実質性","質問書","配偶者","1通。入管庁HPで様式DL。英語・中国語・韓国語・ポルトガル語・ベトナム語など多言語版あり","□"
"婚姻の実質性","夫婦間の交流が確認できる資料：スナップ写真","配偶者","2〜3葉。2人で写り容姿がはっきり確認できるもの。アプリ加工したものは不可","□"
"婚姻の実質性","夫婦間の交流が確認できる資料：SNS記録・通話記録","配偶者","スナップ写真以外に提出できるもの","□"
"その他","返信用封筒","全員","1通。定形封筒に宛先明記＋簡易書留用の郵便切手を貼付","□"
"その他","パスポート・在留カードの提示（変更・更新申請時）","全員","申請時に窓口で提示、またはオンライン申請でアップロード","□"
"離婚・死別時","配偶者に関する届出（14日以内）","配偶者","電子届出システムが便利（入管法19条の16第3号）","□"
