"育成就労 移行対応チェックシート（2027年4月施行対応）",,,,
"行政書士ナビ・ジャーナル（gyosei-navi.jp） — 2026-08-19版。一次情報: 入管庁 育成就労制度運用要領・制度の概要（令和8年7月改訂）ほか",,,,
"※本シートは一般的な情報提供であり、個別の法的助言ではありません。最新の法令・運用は必ず一次情報でご確認ください。",,,,
,,,,
区分,時期の目安,確認・対応事項,根拠・参照,状態
"現状把握","直ちに","在籍する技能実習生ごとに施行日（2027-04-01）時点の段階（1号/2号/3号）を一覧化する","経過措置（制度概要p7）",
"現状把握","直ちに","経過措置で次の段階まで移行できるか判定する（3号への移行は施行日時点で2号を1年以上の者に限る）","経過措置（制度概要p7）",
"現状把握","直ちに","経過措置ルートでは育成就労への途中移行ができないことを人員計画に織り込む","経過措置（制度概要p7）",
"現状把握","直ちに","自社業務が該当する育成就労産業分野・業務区分を分野別運用方針で確認する（17分野・自動車運送業/航空は対象外）","分野別運用方針",
"監理支援機関","直ちに","利用中の監理団体に監理支援機関許可の施行日前申請の状況・予定を確認する","運用要領第5章",
"監理支援機関","〜2026-09-30","施行日から監理支援を受けるには、監理団体が2026-09-30までに施行日前申請を出しているか確認（機構の強い推奨期限）","機構 施行日前申請案内",
"監理支援機関","選定時","候補機関の常勤役職員数（2人以上・実施者数÷8超・外国人数÷40超）と実施者2者以上の見込みを確認する","運用要領第5章",
"監理支援機関","選定時","候補機関が債務超過でないか、送出機関役員との兼任がないかを確認する","運用要領第5章",
"計画認定","〜2026-06頃","機構ホームページの申請様式・記載例・Q&A公表（2026年6月頃予定）を確認する体制を作る","機構 施行日前申請案内",
"計画認定","2026-09-01〜","育成就労計画認定の施行日前申請（機構地方事務所・支所）を行う","機構 施行日前申請案内",
"計画認定","申請前","育成就労の目標試験を分野別運用方針の指定（技能3級検定/相当評価試験/特定技能1号評価試験、日本語は原則A2相当）から設定する","運用要領第4章・規則13条",
"計画認定","申請前","開始1年以内の中間評価（初級水準試験の受験義務）を計画に組み込む","運用要領第4章",
"計画認定","申請前","同種業務での非自発的離職者（退職勧奨・労働問題起因の離職等）がいないか直近の離職履歴を点検する","運用要領第4章",
"計画認定","申請前","人数枠を確認する（経過措置中の1号・2号技能実習生は育成就労外国人として算入、3号は不算入）","運用要領第4章",
"計画認定","申請前","単独型等の場合、素行が善良であることを証する書類の準備を送出側と確認する","運用要領第4章",
"送出し","契約前","送出国が MOC 作成国か、送出機関が外国政府認定送出機関リスト（機構HP）に載っているかを確認する","運用要領第4章",
"送出し","契約前","外国人が送出機関・教育機関・仲介人に支払う費用の内訳を確認する（費目を問わず規制対象）","運用要領第4章",
"日本語・入国","受入れ前","入国時要件（A1相当以上の試験合格または相当する日本語講習受講）の充足方法を送出機関と確認する","制度概要p2",
"日本語・入国","受入れ前","入国後講習の施設を確保する（監理型は原則監理支援機関。双方向・音声映像ありのオンライン可）","運用要領第4章",
"待遇・体制","受入れ前","外国人であることを理由とする待遇差（報酬・賞与・教育訓練・福利厚生）がないか点検する","運用要領第4章",
"待遇・体制","受入れ前","転籍制限期間を確認し、1年超の分野では待遇向上の内容（分野別運用方針）を確認する","運用要領第4章",
"待遇・体制","受入れ前","一時帰国希望時の追加有給休暇への配慮を雇用契約書に定める","運用要領第4章",
"待遇・体制","受入れ後","健康状況・生活状況の把握措置（健康診断・定期面談・緊急連絡網）を運用する","運用要領第4章",
"転籍対応","受入れ後","在籍者ごとに転籍可能時期（分野ごと1年または2年＋試験合格）を台帳化する","制度概要p2-4",
"転籍対応","常時","賃金・労働環境・キャリア支援を地域の同業と比較点検する（転籍されない職場づくり）","—",
"特定技能移行","2年目〜","育成終了時試験（技能3級相当＋日本語A2.2相当/N4等）の受験日程から逆算した学習計画を本人と共有する","制度概要p2-4",
"特定技能移行","3年目","不合格時の再受験（最長1年の在留継続）の扱いを本人・支援機関と確認する","制度概要p2",
"特定技能移行","移行時","特定技能1号の支援体制（自社支援または登録支援機関への全部委託）を決める","特定技能運用要領",
