都道府県,介護事業所数,総人口,65歳以上,75歳以上,高齢化率(%),後期高齢化率(%),75歳以上1万人当たり事業所,登録支援機関兼業率(%)
沖縄県,2888,1484081,355111,172275,23.93,11.61,167.64,7.89
和歌山県,2810,901193,305421,179210,33.89,19.89,156.8,6.01
徳島県,2103,700409,243089,137913,34.71,19.69,152.49,5.14
熊本県,4492,1716360,554395,309503,32.3,18.03,145.14,5.61
宮崎県,2732,1048347,352075,195083,33.58,18.61,140.04,4.65
大分県,2956,1102102,374725,214584,34.0,19.47,137.75,4.23
島根県,1755,642590,225400,132073,35.08,20.55,132.88,3.25
愛媛県,3364,1296359,439326,253502,33.89,19.55,132.7,5.44
福岡県,10497,5086957,1430961,799298,28.13,15.71,131.33,5.0
大阪府,18447,8771961,2356167,1419143,26.86,16.18,129.99,6.92
長崎県,3118,1274371,438574,242002,34.41,18.99,128.84,3.85
佐賀県,1749,794252,250711,136296,31.57,17.16,128.32,7.38
群馬県,4134,1907976,584877,332971,30.65,17.45,124.15,8.35
奈良県,3038,1303867,422946,250064,32.44,19.18,121.49,5.1
鹿児島県,3440,1558920,524745,284283,33.66,18.24,121.01,5.87
福井県,1596,746690,233518,132845,31.27,17.79,120.14,4.95
富山県,2360,1008536,330128,197436,32.73,19.58,119.53,6.99
香川県,2102,939965,301386,176257,32.06,18.75,119.26,3.47
岡山県,3982,1835478,565562,335120,30.81,18.26,118.82,7.03
鳥取県,1189,534003,178317,100421,33.39,18.81,118.4,2.94
山梨県,1664,801056,254254,144526,31.74,18.04,115.13,4.75
三重県,3542,1741266,530180,308141,30.45,17.7,114.95,4.69
青森県,2591,1185767,419672,229502,35.39,19.35,112.9,3.94
岩手県,2535,1153900,405889,226485,35.18,19.63,111.93,4.46
滋賀県,2404,1405246,380532,214916,27.08,15.29,111.86,6.86
広島県,5361,2728771,821179,483600,30.09,17.72,110.86,5.47
愛知県,12200,7483755,1904624,1111331,25.45,14.85,109.78,7.22
福島県,3444,1771314,590120,316258,33.32,17.85,108.9,2.96
秋田県,2140,907593,356072,199934,39.23,22.03,107.04,3.93
岐阜県,3728,1951292,604233,351280,30.97,18.0,106.13,6.36
高知県,1484,664863,240991,143075,36.25,21.52,103.72,6.47
山口県,2794,1292956,455543,269608,35.23,20.85,103.63,4.44
北海道,9654,5044825,1664663,940913,33.0,18.65,102.6,5.16
兵庫県,9466,5393607,1582685,925804,29.34,17.16,102.25,7.24
長野県,3905,2012399,653520,387031,32.47,19.23,100.9,7.4
宮城県,3592,2224980,658433,356367,29.59,16.02,100.79,4.98
京都府,4466,2472013,732822,443109,29.64,17.93,100.79,5.62
栃木県,3108,1904173,574469,310593,30.17,16.31,100.07,6.76
石川県,1926,1098121,334831,196027,30.49,17.85,98.25,4.0
山形県,1932,1012355,358153,198675,35.38,19.63,97.24,9.89
静岡県,6001,3575704,1104068,635058,30.88,17.76,94.5,7.62
神奈川県,12849,9202559,2361939,1384856,25.67,15.05,92.78,6.93
千葉県,9414,6311579,1742838,1015260,27.61,16.09,92.73,6.81
茨城県,4355,2848597,864706,478757,30.36,16.81,90.96,4.18
東京都,16396,14002534,3148429,1838345,22.48,13.13,89.19,5.4
新潟県,3598,2110754,715137,404749,33.88,19.18,88.89,6.89
埼玉県,9308,7374294,1988615,1149487,26.97,15.59,80.98,6.4
