"在留手続き早見表 — 認定・変更・更新・永住（2026年8月版）","","","","",""
"行政書士ナビ・ジャーナル（gyosei-navi.jp） — 2026-08-29版。一次情報: 出入国在留管理庁 各手続案内ページ・入管法施行令（令和8年政令第268号）","","","","",""
"※本シートは一般的な情報提供であり、個別の法的助言ではありません。必要書類は在留資格・個別事情ごとに異なるため、申請前に必ず入管庁の最新の公式ページでご確認ください。","","","","",""
"※手数料は2026年10月1日施行の政令改定を反映（変更・更新は在留期間により変動）。詳細は在留手続手数料の改定記事を参照。","","","","",""
"","","","","",""
"手続き","根拠条文","現行手数料（〜2026/9/30目安）","2026/10/1〜の手数料","標準処理期間","申請期間の目安"
"在留資格認定証明書交付申請（COE）","入管法第7条の2","無料","無料（変更なし）","1か月〜3か月","入国前、余裕をもって"
"在留資格変更許可申請","入管法第20条","6,000円／オンライン5,500円","在留期間により10,000円〜75,000円","1か月〜2か月","変更事由が生じたとき〜在留期間満了日以前"
"在留期間更新許可申請","入管法第21条","6,000円／オンライン5,500円","在留期間により10,000円〜75,000円","2週間〜1か月","6か月以上の在留期間なら満了3か月前から"
"永住許可申請","入管法第22条","10,000円","200,000円","4か月〜6か月","在留期間満了日以前（取得の場合は事由発生から30日以内）"
"","","","","",""
"共通の確認事項（4手続に共通）","","","","",""
"区分","項目","内容","","",""
"提出先","住居地を管轄する地方出入国在留管理官署","4手続とも共通（COEのみ居住予定地・受入機関所在地の場合あり）","","",""
"取次者","承認を受けた機関職員・監理団体・公益法人職員／届出済み弁護士行政書士","4手続で共通の枠組み。個別要件は手続ごとにわずかに異なる","","",""
"在留カードの受領","取次者等に該当しない限り、配偶者・子・兄弟姉妹・会社の同僚でも受領不可","変更・更新・永住の3手続で明文確認（COEは電子交付制度あり）","","",""
"個別書類","在留資格・申請内容ごとに異なる","本シートでは網羅せず。各手続の記事および入管庁の該当ページで確認","","",""
